foreign_id,stage_l,discharge_l
CLRCRK02,727.533,10811.5
INDCR01,696.66,0
INDCR01,698.294,89.7699
INDCR01,700.781,448.814
INDCR01,702.598,897.628
INDCR01,703.911,1346.41
INDCR01,704.875,1795.22
INDCR01,707.795,3728.2
INDCR01,709.334,5292.68
INDCR01,710.945,7452.07
INDCR01,712.07,9150.49
INDCR01,712.979,10931
INDCR01,713.809,12722.5
INDCR02,728.757,0
INDCR02,730.522,85.744
INDCR02,732.592,428.755
INDCR02,734.288,857.475
INDCR02,735.597,1286.23
INDCR02,736.535,1714.99
INDCR02,738.694,3576.78
INDCR02,739.859,5088.1
INDCR02,741.145,7177.11
INDCR02,741.785,8821.89
INDCR02,742.142,10546.8
INDCR02,742.457,12283.1
INDCR04,810.735,0
INDCR04,811.886,39.6937
INDCR04,814.656,198.504
INDCR04,816.388,397.043
INDCR04,817.375,595.547
INDCR04,818.002,794.086
INDCR04,819.993,1779.44
INDCR04,821.024,2620.38
INDCR04,821.965,3811.02
INDCR04,822.589,4766.07
INDCR04,823.146,5774.23
INDCR04,823.655,6796.77
LTLSIOUX03,1320.01,0
LTLSIOUX03,1326.01,5474.94
LTLSIOUX03,1327.71,10247
LTLSIOUX03,1328.79,13836.4
LTLSIOUX03,1330.11,18637.6
LTLSIOUX03,1331.04,22319.5
LTLSIOUX03,1331.96,26153.9
LTLSIOUX03,1332.84,29974.9
RHNCR01,728.839,0
RHNCR01,731.932,325.566
RHNCR01,733.619,792.814
RHNCR01,734.623,1215.18
RHNCR01,735.738,1831.03
RHNCR01,736.818,2336.21
RHNCR01,737.441,2874.33
RHNCR01,737.963,3425.28
RLSTNCR01,651.371,0
RLSTNCR01,658.074,39.3405
RLSTNCR01,659.954,196.667
RLSTNCR01,661.207,393.335
RLSTNCR01,661.991,590.002
RLSTNCR01,662.415,786.669
RLSTNCR01,663.95,1764.39
RLSTNCR01,664.888,2599.3
RLSTNCR01,665.961,3781.78
RLSTNCR01,666.617,4730.47
RLSTNCR01,667.208,5732.03
RLSTNCR01,667.717,6748
SLVRCR01,1006.88,0
SLVRCR01,1015.65,3417.05
SLVRCR01,1019.87,6558.64
SLVRCR01,1023.33,8989.35
SLVRCR01,1026.33,12129.2
SLVRCR01,1027.95,14367.4
SLVRCR01,1029.54,16835.2
SLVRCR01,1030.91,19011.7
